Campaign,Ad Group,Keyword,Match Type,Max CPC,Status
Nith Digital - Launchpad,Startup Launchpad Scotland,"how to start a business Scotland",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"starting a business Scotland checklist",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"register self employed Scotland",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"sole trader Scotland guide",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"business startup Scotland free help",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"Business Gateway Scotland checklist",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"free business checklist Scotland",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"sole trader website Scotland",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"start up business Scotland step by step",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"self employed registration Scotland",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"new business Scotland website",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"starting a sole trader business Scotland",Phrase,0.80,Enabled
Nith Digital - Launchpad,Startup Launchpad Scotland,"small business startup guide Scotland",Phrase,0.80,Enabled
